year,title,studios,authors,themes,genres,bangumi_tags,extra_tags,active
2025,3年Z班银八老师,Bandai Namco Pictures,空知英秋|大崎知仁,恶搞|校园|群像,喜剧|校园|少年,TV|小说改|银魂|搞笑|吐槽|校园,Jump J-Books|衍生作,true
2025,BanG Dream! Ave Mujica,SANZIGEN,Bushiroad,乐队|音乐|心理|少女,原创|音乐|剧情,TV|原创|3D|乐队|BanG Dream,Ave Mujica|MyGO续作,true
2025,Re：从零开始的异世界生活,White Fox,长月达平|大塚真一郎,异世界|轮回|冒险|战斗|奇幻,奇幻|剧情|小说改,TV|轻小说改|异世界|续作|白狐社,第三季|反击篇|Re:Zero,true
2025,Silent Witch 沉默魔女的秘密,Studio Gokumi,依空祭|藤实なんな,魔法|学园|成长|社恐,奇幻|校园|小说改,TV|轻小说改|魔女|护卫|学园,Silent Witch,true
2025,坂本日常,TMS Entertainment,铃木祐斗,杀手|动作|日常|家庭|喜剧,动作|喜剧|少年,TV|漫画改|Jump|战斗|搞笑,SAKAMOTO DAYS|Netflix,true
2025,欢迎来到日本，精灵小姐。,Zero-G,まきしま鈴木|ヤッペン,异世界|日本文化|日常|恋爱,奇幻|恋爱|日常|小说改,TV|轻小说改|异世界|精灵|美食,Welcome to Japan Ms. Elf,true
2025,魔女与使魔,Bibury Animation Studios,筱原健太,魔法|同居|校园|搞笑|恋爱,奇幻|恋爱喜剧|少年,TV|漫画改|Jump|魔女|使魔,Witch Watch,true
2025,男女之间的友情存在吗？（不，不存在!!）,J.C.STAFF,七菜なな|Parum,青春|恋爱|友情|校园,恋爱喜剧|校园|小说改,TV|轻小说改|青梅竹马|校园|恋爱,Danjo no Yujo,true
2025,群花绽放，彷如修罗,Studio Bind,武田绫乃|むっしゅ,朗读|广播部|青春|社团,校园|青春|漫画改,TV|漫画改|Ultra Jump|朗读|社团,Hana wa Saku Shura no Gotoku,true
2025,叹气的亡灵想隐退,Zero-G,槻影|チーコ,冒险|奇幻|误会系|公会,奇幻|喜剧|小说改,TV|轻小说改|异世界|冒险者|续作,第2部分|Cour 2,true
2025,嘻嘻嘻嘻吸血鬼,GAINA,奥嶋广昌,吸血鬼|澡堂|BL|喜剧,喜剧|奇幻|漫画改,TV|漫画改|吸血鬼|Netflix|别册少年Champion,Baban Baban Ban Vampire,true
2025,薰香花朵凛然绽放,CloverWorks,三香见咲,恋爱|校园|青春|跨校,恋爱|校园|漫画改,TV|漫画改|青春|纯爱|CloverWorks,Kaoru Hana wa Rin to Saku,true
2025,与游戏中心的少女异文化交流的故事,Nomad,安原宏和,游戏中心|异文化交流|恋爱|日常,恋爱喜剧|日常|漫画改,TV|漫画改|街机|英国少女|Crunchyroll,Game Center Shoujo,true
2025,在冲绳喜欢上的女孩方言讲得太过令人困扰,Millepensee,空惠美,冲绳|方言|恋爱|校园|地域文化,恋爱喜剧|校园|漫画改,TV|漫画改|冲绳|方言|青春,Okitsura,true
2025,章鱼哔的原罪,ENISHIYA,タイザン5,校园欺凌|家庭|科幻|黑暗|救赎,剧情|科幻|漫画改,ONA|漫画改|Jump+|致郁|短篇,Takopi's Original Sin,true
2025,这公司有我喜欢的人,BLADE,榎本あかまる,办公室恋爱|职场|成人恋爱|秘密交往,恋爱|职场|漫画改,TV|漫画改|职场|恋爱|成年人,I Have a Crush at Work,true
2025,中年上班族转生恶役,Ajiado,上山道郎,恶役千金|转生|亲情|喜剧|乙女游戏,异世界|喜剧|漫画改,TV|漫画改|恶役令嬢|转生|大叔,From Bureaucrat to Villainess,true
2025,紫云寺家的兄弟姐妹,Doga Kobo,宫岛礼吏,家庭|兄妹|恋爱|群像,恋爱喜剧|后宫|漫画改,TV|漫画改|Young Animal|兄弟姐妹|恋爱,The Shiunji Family Children,true
